Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,High_52W,Pct_From_52W_High,At_52W_High
11,STX,Data Storage,2155.1,100.0,0.9,14.6,30.9,88.4,153.3,322.8,882.8,1099.8,1414.7,2155.1,2153.8,-36.7,1.2,469.0,29.1,2300.1,8.0,8.0,8.0,8.0,24.78,24.78,66.28,66.28,19,0.11615018917184017,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,8.0,8.0,8.0,8.0,24.78,24.78,8.0,0.0,0.0,-6.0,0.0,66.28,66.28,241200581151.91,241.201,54.0,cap100,equity,data_raw,111111111,100101011,1097.0,-2.82,False
12,CAT,Construction Machinery,552.2,100.0,3.8,5.1,8.7,13.9,30.3,65.4,132.0,207.3,314.9,552.2,551.3,-5.5,1.2,251.6,34.7,697.3,40.0,40.0,40.0,40.0,4.44,4.44,67.64,67.64,9,-3.4067612851371365,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,40.0,40.0,40.0,40.0,4.44,4.44,44.0,0.0,0.0,-6.0,0.0,67.64,67.64,440289080517.91,440.289,28.0,cap100,equity,data_raw,111111111,110111111,975.64,-2.02,False
13,AMAT,Semiconductor Equipment & Materials,770.7,100.0,0.0,4.6,40.7,46.8,72.9,133.9,181.3,242.4,393.4,770.7,770.4,-21.2,1.6,233.0,35.5,915.7,25.0,25.0,27.0,27.0,15.89,15.89,73.74,73.74,-5,0.10000000000000142,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,25.0,25.0,27.0,27.0,15.89,15.89,14.0,0.0,0.0,0.0,0.0,73.74,73.74,470754411666.96,470.754,24.0,cap100,equity,data_raw,111111111,011111011,623.35,-4.88,False
14,000660.KS,Memory,3017.4,100.0,9.5,17.3,51.0,99.9,172.7,442.2,1136.1,1642.6,1972.4,3017.4,3016.8,-22.7,1.2,633.1,40.9,3162.4,2.0,2.0,2.0,2.0,24.78,24.78,74.93,74.93,0,0.0,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,2.0,2.0,2.0,2.0,24.78,24.78,1.0,0.0,0.0,12.0,0.0,74.93,74.93,,,,,,,111111111,101-00111,2523000.0,-0.08,True
15,DELL,Computer Hardware & Services,1072.5,88.7,6.1,6.1,44.4,99.5,156.1,179.9,284.7,483.6,725.3,1072.5,1206.8,-23.7,1.6,297.0,65.48041420900913,1205.4,17.0,17.0,17.0,17.0,5.0,5.0,74.95,74.95,-10,-7.55003491939263,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,17.0,17.0,17.0,17.0,5.0,5.0,6.0,0.0,0.0,25.0,0.0,74.95,74.95,136226017104.25,136.226,89.0,cap100,equity,data_raw,111111111,-01111111,469.47,-10.68,False
16,LLY,Pharmaceuticals,559.3,92.3,-2.4,-1.8,8.8,4.7,1.7,13.5,16.8,98.7,250.7,559.3,607.2,-21.4,1.2,490.0,119.84454103961251,704.3,39.0,39.0,39.0,39.0,0.0,0.0,77.0,77.0,-4,4.844541039612508,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,39.0,39.0,39.0,39.0,0.0,0.0,131.0,0.0,0.0,12.0,0.0,77.0,77.0,991616443472.0,991.616,13.0,cap100,equity,data_raw,011111111,111111111,1182.73,-5.98,False
17,WSM,Specialty Retail,362.7,88.1,-1.4,-1.0,15.8,10.9,11.3,10.3,48.8,96.3,189.2,362.7,417.3,-40.6,1.2,337.1,83.09670971923458,507.7,60.0,60.0,61.0,61.0,4.44,4.44,78.64,78.64,-8,-5.497795204412398,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,60.0,60.0,61.0,61.0,4.44,4.44,96.0,0.0,0.0,0.0,0.0,78.64,78.64,26039662303.98,26.04,350.0,other,equity,data_raw,011111111,011111111,234.415,-5.66,False
18,AVGO,Semiconductors,1163.7,79.1,2.6,2.9,-10.9,1.3,2.1,9.1,113.0,302.0,566.4,1163.7,1473.1,-16.4,1.2,1196.0,271.75199794825056,1308.7,15.0,15.0,16.0,16.0,0.4,0.4,79.8,79.8,14,-7.096712800232183,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,15.0,15.0,16.0,16.0,0.4,0.4,197.0,0.0,0.0,25.0,0.0,79.8,79.8,1869253230756.23,1869.253,8.0,cap10,equity,data_raw,101111111,111111111,495.0,-20.63,False
19,SOXX,Semiconductor,529.8,94.3,-1.9,0.7,16.5,39.8,58.4,89.7,134.0,180.7,261.0,529.8,560.7,-6.2,1.4,193.0,31.771773974857908,674.8,42.0,42.0,43.0,43.0,11.44,11.44,80.94,80.94,8,-0.5236326267182179,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,42.0,42.0,43.0,43.0,11.44,11.44,22.0,0.0,0.0,0.0,0.0,80.94,80.94,38373490688.0,38.373,,etf,etf,data_raw,111111111,111111011,629.7199,-4.76,False
20,FTNT,Cybersecurity Software,529.5,95.8,-1.9,-1.4,32.2,50.8,59.0,50.7,51.6,54.9,149.7,529.5,554.3,-20.2,1.4,318.4,76.31814756290566,674.5,43.0,43.0,44.0,44.0,11.44,11.44,81.44,81.44,-5,2.685379907048855,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,43.0,43.0,44.0,44.0,11.44,11.44,25.0,0.0,0.0,12.0,0.0,81.44,81.44,105603938631.57,105.604,116.0,large,equity,data_raw,011111111,111111101,150.065,-3.95,False
21,APO,Asset Management,208.2,49.8,3.8,3.8,7.1,13.0,4.5,-3.3,-11.9,18.0,54.6,208.2,428.2,-9.1,1.3,462.2,284.24659433349177,353.2,89.0,89.0,93.0,93.0,4.0,4.0,81.6,81.6,13,-53.57800887199954,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,89.0,89.0,93.0,93.0,4.0,4.0,143.0,0.0,0.0,-6.0,0.0,81.6,81.6,80084049842.1,80.084,151.0,large,equity,data_raw,111100111,111111111,153.29,-9.38,False
22,EME,Construction & Engineering,603.3,83.5,0.6,0.6,-4.7,-1.8,7.7,15.2,91.6,245.8,410.1,603.3,717.4,-42.2,1.2,531.9,113.7259452179879,748.3,36.0,36.0,36.0,36.0,14.13,14.13,81.98,81.98,17,-1.4075347948911627,EARLY_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,36.0,36.0,36.0,36.0,14.13,14.13,159.0,0.0,0.0,0.0,0.0,81.98,81.98,36774330045.0,36.774,290.0,large,equity,data_raw,100111111,000111111,951.95,-13.07,False
23,APH,Electronic Components,359.3,88.0,6.6,4.8,11.4,9.5,8.6,19.3,100.9,163.2,233.4,359.3,384.6,-16.3,1.2,246.9,39.44157218515989,504.3,61.0,61.0,62.0,62.0,4.44,4.44,82.39,82.39,-1,-10.46420434059192,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,61.0,61.0,62.0,62.0,4.44,4.44,94.0,0.0,0.0,-6.0,0.0,82.39,82.39,198203072184.83,198.203,62.0,cap100,equity,data_raw,111111111,11-111111,167.04,-3.55,False
24,MU,Semiconductors,2247.0,95.7,5.5,6.4,46.2,101.9,161.8,408.8,832.4,1078.2,1311.4,2247.0,2348.6,-25.2,1.5,483.9,36.25510588568392,2392.0,6.0,6.0,6.0,6.0,27.33,27.33,82.68,82.68,-7,-4.13572824499051,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,6.0,6.0,6.0,6.0,27.33,27.33,5.0,0.0,0.0,12.0,0.0,82.68,82.68,1176440818584.52,1176.441,12.0,cap100,equity,data_raw,111111111,111100011,1110.3999,-6.05,False
25,PANW,Cybersecurity Software,355.7,92.1,1.3,1.0,24.5,48.2,47.2,37.9,36.7,80.7,184.2,355.7,389.3,-34.6,1.2,224.5,60.654338064184834,500.7,62.0,62.0,63.0,63.0,0.0,0.0,84.05,84.05,3,-2.050118757946514,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,62.0,62.0,63.0,63.0,0.0,0.0,33.0,0.0,0.0,12.0,0.0,84.05,84.05,229935953979.49,229.936,57.0,cap100,equity,data_raw,111111111,111111111,302.95,-6.87,False
26,MPWR,Semiconductors,564.0,81.3,-10.3,-8.1,-7.6,4.9,20.0,39.6,70.6,104.8,212.1,564.0,693.2,-5.3,1.4,411.1,86.51072296267249,709.0,38.0,38.0,38.0,38.0,0.87,0.87,87.02,87.02,-10,9.696262585623302,STRONG_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,38.0,38.0,38.0,38.0,0.87,0.87,85.0,0.0,0.0,25.0,0.0,87.02,87.02,71150555380.86,71.151,180.0,large,equity,data_raw,001111111,111111111,1714.0898,-15.51,False
27,MRVL,Semiconductors,854.0,89.8,3.9,3.6,53.4,127.9,173.4,222.1,261.3,306.1,424.8,854.0,862.2,-14.2,2.4,136.7,31.3624821961893,999.0,22.0,22.0,22.0,22.0,15.89,15.89,87.34,87.34,-8,-4.999772022086756,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,22.0,22.0,22.0,22.0,15.89,15.89,1.0,0.0,0.0,12.0,0.0,87.34,87.34,253289599475.1,253.29,50.0,cap100,equity,data_raw,111111111,011110111,324.15,-10.68,False
28,TSM,Semiconductors,594.6,96.4,2.5,2.0,3.7,7.1,18.3,39.5,135.4,198.2,290.3,594.6,616.9,-6.0,1.1,359.8,57.48517398808826,739.6,37.0,37.0,37.0,37.0,11.44,11.44,87.79,87.79,7,-2.78648129947252,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,37.0,37.0,37.0,37.0,11.44,11.44,74.0,0.0,0.0,12.0,0.0,87.79,87.79,2241334713062.22,2241.335,5.0,cap10,equity,data_raw,111111111,111110111,450.1636,-4.0,False
29,IBKR,Capital Markets,401.6,100.0,0.0,4.8,12.5,19.4,25.6,31.5,137.7,236.2,321.1,401.6,356.5,-46.8,1.2,202.2,27.6,546.6,57.0,57.0,59.0,59.0,13.33,13.33,89.73,89.73,-4,0.40000000000000213,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,57.0,57.0,59.0,59.0,13.33,13.33,55.0,0.0,0.0,-6.0,0.0,89.73,89.73,42361106541.35,42.361,263.0,large,equity,data_raw,111111111,100011111,96.745,-1.71,False
30,HOOD,Capital Markets,440.6,55.5,7.8,13.0,29.1,31.4,12.1,0.7,316.1,,,440.6,820.7,-60.3,1.4,767.2,229.63286832651502,498.3,63.0,63.0,55.0,55.0,12.5,12.5,89.75,89.75,13,-78.13539546298276,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,63.0,63.0,55.0,55.0,12.5,12.5,68.0,0.0,26.0,-6.0,0.0,89.75,89.75,83232627815.1,83.233,146.0,large,equity,data_raw,111111--1,------111,153.56,-31.49,False
31,ASML,Semi-Conductors,507.8,97.4,0.4,0.3,22.5,22.5,34.6,70.5,89.8,102.4,177.9,507.8,520.1,-5.8,1.6,223.7,39.175641968889444,652.8,46.0,46.0,47.0,47.0,22.89,22.89,92.69,92.69,-11,-0.5543080346235172,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,46.0,46.0,47.0,47.0,22.89,22.89,38.0,0.0,0.0,0.0,0.0,92.69,92.69,719894660279.65,719.895,17.0,cap100,equity,data_raw,111111111,111110011,1938.4899,-3.65,False
32,LITE,Communication Equipment,1234.1,80.6,-5.2,-5.5,-6.4,1.0,58.6,328.3,1049.8,1021.9,1000.3,1234.1,1558.0,-109.6,1.5,461.4,4.515736489396622,1379.1,14.0,14.0,14.0,14.0,27.73,27.73,93.03,93.03,15,1.6081476765654394,EARLY_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,14.0,14.0,14.0,14.0,27.73,27.73,24.0,0.0,0.0,0.0,0.0,93.03,93.03,67684442480.47,67.684,189.0,large,equity,data_raw,001111111,111100011,1085.6801,-19.87,False
33,GOOG,Internet Content & Information,230.4,82.8,1.8,1.2,-4.4,2.4,3.2,28.6,67.1,89.1,133.8,230.4,280.7,-10.8,1.3,156.0,25.350238324733954,375.4,81.0,81.0,85.0,85.0,5.37,5.37,93.57,93.57,28,1.1052597585699147,STRONG_DOWN,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,81.0,81.0,85.0,85.0,5.37,5.37,123.0,0.0,0.0,0.0,-18.0,93.57,93.57,1991419061272.93,1991.419,7.0,cap10,equity,data_raw,101111111,111101111,404.44,-10.47,False
34,GOOGL,Internet Conglomerates,228.7,82.2,1.9,1.2,-4.7,2.2,3.4,29.5,69.4,91.8,136.5,228.7,281.0,-11.4,1.3,153.0,24.263879382443417,373.7,83.0,83.0,87.0,87.0,5.33,5.33,95.08,95.08,28,1.242173941480118,STRONG_DOWN,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,83.0,83.0,87.0,87.0,5.33,5.33,120.0,0.0,0.0,0.0,-18.0,95.08,95.08,2134412654978.49,2134.413,6.0,cap10,equity,data_raw,101111111,111101111,408.61,-10.97,False
35,RGTI,Quantum Computing,767.5,29.6,-1.1,-3.4,-2.9,9.8,0.5,2.1,784.0,792.5,,767.5,2754.1,-93.0,1.6,2745.1,923.32122570443,827.2,32.0,32.0,28.0,28.0,12.9,12.9,97.55,97.55,-12,36.580741134790514,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,32.0,32.0,28.0,28.0,12.9,12.9,169.0,0.0,11.0,25.0,0.0,97.55,97.55,6729414126.68,6.729,529.0,other,equity,data_raw,0011111-1,------111,58.15,-65.18,False
36,MS,Investment Banking & Brokerage,257.9,100.0,1.7,5.2,12.2,18.4,19.5,30.2,77.2,92.5,164.2,257.9,258.1,-20.8,1.1,137.4,19.9,402.9,71.0,71.0,72.0,72.0,8.89,8.89,97.74,97.74,13,-0.7381264235261469,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,71.0,71.0,72.0,72.0,8.89,8.89,60.0,0.0,0.0,-6.0,0.0,97.74,97.74,354826003022.0,354.826,35.0,cap100,equity,data_raw,111111111,100111111,228.07,-1.36,False
37,RKLB,Aerospace & Defense,1196.5,69.1,3.9,5.5,12.3,31.1,50.9,94.6,1038.3,1243.0,,1196.5,1719.1,-77.2,1.3,862.4,134.28654972109837,1260.7,16.0,16.0,15.0,15.0,27.0,27.0,99.05,99.05,-6,-0.509768139242766,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,16.0,16.0,15.0,15.0,27.0,27.0,27.0,0.0,11.0,25.0,0.0,99.05,99.05,62506111893.72,62.506,203.0,large,equity,data_raw,1111111-1,-----0111,150.9999,-28.49,False
38,URI,Equipment Rental,335.5,93.1,-3.5,-2.3,7.6,15.7,19.1,13.9,24.7,67.2,172.3,335.5,362.9,-36.0,1.3,271.2,64.69200704737116,480.5,64.0,64.0,66.0,66.0,8.89,8.89,100.14,100.14,-20,3.7234444916331455,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,64.0,64.0,66.0,66.0,8.89,8.89,87.0,0.0,0.0,12.0,0.0,100.14,100.14,65714357060.94,65.714,196.0,large,equity,data_raw,011111111,100111111,1106.8781,-5.23,False
39,TRGP,Oil & Gas Midstream,499.7,92.1,-5.2,-4.3,1.3,-0.3,13.8,29.4,73.2,165.0,447.8,499.7,551.7,-93.5,1.2,376.8,79.26308422713794,644.7,47.0,47.0,48.0,48.0,18.19,18.19,100.24,100.24,-26,5.8966111847026355,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,47.0,47.0,48.0,48.0,18.19,18.19,104.0,0.0,0.0,12.0,0.0,100.24,100.24,55966249172.09,55.966,221.0,large,equity,data_raw,010111111,000011111,280.0,-6.88,False
40,CASY,Retail Specialty Group,272.6,87.5,-7.5,-4.9,7.7,8.4,21.9,36.2,90.3,148.4,188.1,272.6,316.8,-38.6,1.1,163.6,24.320003701357724,417.6,67.0,67.0,70.0,70.0,8.89,8.89,100.54,100.54,-11,1.7033278862528434,EARLY_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,67.0,67.0,70.0,70.0,8.89,8.89,66.0,0.0,0.0,0.0,0.0,100.54,100.54,31446589773.18,31.447,312.0,other,equity,data_raw,011111111,011011111,927.85,-8.3,False
41,TT,Building Products,240.9,82.2,4.8,3.2,1.6,-1.0,3.2,-1.3,17.4,54.8,102.8,240.9,294.6,-7.0,1.2,273.5,80.102675462019,385.9,77.0,77.0,80.0,80.0,1.72,1.72,102.87,102.87,19,-6.561919812709775,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,77.0,77.0,80.0,80.0,1.72,1.72,208.0,0.0,0.0,0.0,0.0,102.87,102.87,104450925596.01,104.451,117.0,large,equity,data_raw,110101111,111111111,503.47,-6.15,False
42,IRM,Data Storage & Management,227.9,73.8,-1.9,-1.3,-1.3,4.1,18.8,16.0,16.8,50.1,135.5,227.9,320.0,-29.9,1.3,225.7,82.78313350939189,372.9,84.0,84.0,88.0,88.0,15.06,15.06,104.91,104.91,8,-1.8990062978810727,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,84.0,84.0,88.0,88.0,15.06,15.06,109.0,0.0,0.0,0.0,0.0,104.91,104.91,37321496711.02,37.321,285.0,large,equity,data_raw,001111111,0011111-1,134.09,-6.45,False
43,GE,Aerospace & Defense,262.5,97.5,8.5,6.6,17.0,9.8,10.2,12.0,88.4,234.1,333.4,262.5,260.3,-96.0,1.1,183.0,27.8139981448036,407.5,69.0,69.0,71.0,71.0,17.78,17.78,106.08,106.08,3,-6.424428148486857,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,69.0,69.0,71.0,71.0,17.78,17.78,95.0,0.0,0.0,-6.0,0.0,106.08,106.08,372502691738.44,372.503,33.0,cap100,equity,data_raw,111111111,001001111,362.33,-1.46,False
44,TRX-USD,Cryptocurrency,764.2,11.6,0.2,1.8,-4.6,-3.9,-0.1,-5.8,67.7,146.7,447.2,764.2,6637.4,-26.9,1.2,6599.9,1713.83929670531,874.9,29.0,29.0,29.0,29.0,16.51,16.51,106.51,106.51,0,11.674823873913965,STRONG_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,29.0,29.0,29.0,29.0,16.51,16.51,301.0,0.0,0.0,25.0,0.0,106.51,106.51,30374644078.05,30.375,,crypto,crypto,data_raw,100001111,--0111111,0.3763,-14.88,False
45,TER,Semiconductors,517.0,93.4,0.9,1.4,14.2,16.4,50.0,144.0,202.9,202.7,239.4,517.0,544.0,-50.5,2.1,143.1,11.478924773953235,662.0,44.0,44.0,45.0,45.0,27.33,27.33,107.33,107.33,-8,-0.25789434081060136,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,44.0,44.0,45.0,45.0,27.33,27.33,20.0,0.0,0.0,0.0,0.0,107.33,107.33,63956865324.54,63.957,198.0,large,equity,data_raw,111111111,111100011,440.7499,-7.3,False
46,GS,Investment Banking & Brokerage,248.7,100.0,3.0,3.5,11.9,15.0,16.8,27.5,96.2,126.9,196.8,248.7,248.0,-35.7,1.1,134.9,17.0,393.7,76.0,76.0,77.0,77.0,13.33,13.33,107.63,107.63,9,-1.5057870397009445,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,76.0,76.0,77.0,77.0,13.33,13.33,72.0,0.0,0.0,-6.0,0.0,107.63,107.63,324254461039.34,324.254,40.0,cap100,equity,data_raw,111111111,000111111,1121.74,-2.01,False
