Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,High_52W,Pct_From_52W_High,At_52W_High
11,STX,Data Storage,2073.9,100.0,8.3,17.1,25.4,80.8,143.6,307.3,847.9,1056.9,1360.2,2073.9,2072.6,-36.7,1.2,464.6,28.9,2221.9,7.0,7.0,7.0,7.0,24.78,24.78,65.98,65.98,10,1.176939252141512,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,7.0,7.0,7.0,7.0,24.78,24.78,7.0,0.0,0.0,-6.0,0.0,65.98,65.98,,,,,,,111111111,100101011,1097.0,-5.99,False
12,CAT,Construction Machinery,540.5,100.0,5.5,3.6,6.3,11.3,27.5,62.1,127.4,201.3,307.1,540.5,539.6,-5.5,1.2,250.7,34.6,688.5,41.0,41.0,42.0,42.0,4.44,4.44,67.79,67.79,8,0.2879264599728302,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,41.0,41.0,42.0,42.0,4.44,4.44,44.0,0.0,0.0,-6.0,0.0,67.79,67.79,,,,,,,111111111,110111111,961.33,-1.65,False
13,WSM,Specialty Retail,376.3,91.1,4.2,2.2,17.8,12.8,13.2,12.3,52.2,101.3,197.2,376.3,417.3,-40.6,1.2,326.0,78.79528983445256,524.3,55.0,55.0,56.0,56.0,4.44,4.44,69.34,69.34,21,-30.75973307125564,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,55.0,55.0,56.0,56.0,4.44,4.44,85.0,0.0,0.0,-6.0,0.0,69.34,69.34,,,,,,,111111111,011111111,230.9499,-1.63,False
14,VRT,Electrical Equipment & Parts,1355.7,77.0,0.3,-1.1,-9.5,-2.5,24.9,59.4,271.8,855.3,1193.4,1355.7,1741.3,-60.9,1.3,999.7,213.50659768004027,1458.1,12.0,12.0,11.0,11.0,12.27,12.27,71.92,71.92,2,36.57647853119644,STRONG_DOWN,UPPER_RANGE,NEUTRAL,S5_TRASH,,,,,12.0,12.0,11.0,11.0,12.27,12.27,63.0,0.0,0.0,25.0,0.0,71.92,71.92,,,,,,,000111111,---101111,379.93,-21.14,False
15,AMAT,Semiconductor Equipment & Materials,725.4,96.3,-3.7,1.1,33.6,39.2,64.1,122.3,166.4,223.7,367.0,725.4,753.7,-21.2,1.6,240.5,38.64133098856406,873.4,26.0,26.0,31.0,31.0,15.89,15.89,73.44,73.44,10,3.4413309885640544,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,26.0,26.0,31.0,31.0,15.89,15.89,13.0,0.0,0.0,0.0,0.0,73.44,73.44,,,,,,,111111111,011111011,600.91,-5.44,False
16,DELL,Computer Hardware & Services,1022.2,84.6,2.9,1.5,37.9,90.8,145.2,167.9,267.7,458.4,689.8,1022.2,1206.8,-23.7,1.6,309.3,70.05584221834664,1158.0,17.0,17.0,17.0,17.0,5.0,5.0,73.75,73.75,-11,12.794854891133923,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,17.0,17.0,17.0,17.0,5.0,5.0,6.0,0.0,0.0,25.0,0.0,73.75,73.75,,,,,,,111111111,-01111111,469.47,-13.93,False
17,LLY,Pharmaceuticals,563.9,93.0,-5.1,-5.0,8.6,4.4,1.4,13.3,16.6,99.2,252.5,563.9,607.2,-21.4,1.2,486.2,118.66833717114578,711.9,38.0,38.0,38.0,38.0,0.0,0.0,74.9,74.9,9,-2.9431664187753057,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,38.0,38.0,38.0,38.0,0.0,0.0,128.0,0.0,0.0,12.0,0.0,74.9,74.9,,,,,,,011111111,111111111,1182.73,-5.09,False
18,FTNT,Cybersecurity Software,542.0,97.9,1.1,-0.3,33.6,52.6,61.0,52.6,53.7,57.2,154.2,542.0,554.3,-20.2,1.4,311.4,73.31595472859998,690.0,40.0,40.0,40.0,40.0,11.44,11.44,78.94,78.94,11,4.115954728599974,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,40.0,40.0,40.0,40.0,11.44,11.44,20.0,0.0,0.0,12.0,0.0,78.94,78.94,,,,,,,011111111,111111101,150.065,-2.03,False
19,EME,Construction & Engineering,607.8,84.1,2.6,1.2,-5.1,-2.2,7.4,15.0,92.0,247.4,413.0,607.8,717.4,-42.2,1.2,527.2,112.01090950934442,755.8,35.0,35.0,35.0,35.0,14.13,14.13,79.73,79.73,31,3.712835082783158,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,35.0,35.0,35.0,35.0,14.13,14.13,155.0,0.0,0.0,0.0,0.0,79.73,79.73,,,,,,,100111111,000111111,951.95,-12.31,False
20,SOXX,Semiconductor,515.8,91.8,-2.5,-1.0,13.6,36.5,54.8,85.5,128.5,173.9,252.4,515.8,560.7,-6.2,1.4,197.3,34.062142191620694,663.8,42.0,42.0,43.0,43.0,11.44,11.44,80.29,80.29,13,4.549044271429725,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,42.0,42.0,43.0,43.0,11.44,11.44,23.0,0.0,0.0,0.0,0.0,80.29,80.29,,,,,,,011111111,111111011,629.7199,-6.11,False
21,PANW,Cybersecurity Software,347.9,90.3,-0.8,-1.6,22.3,45.7,44.7,35.3,33.6,76.9,179.0,347.9,389.3,-34.6,1.2,228.7,62.743799571951556,495.9,57.0,57.0,59.0,59.0,0.0,0.0,81.0,81.0,10,2.6725534530024078,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,57.0,57.0,59.0,59.0,0.0,0.0,31.0,0.0,0.0,12.0,0.0,81.0,81.0,,,,,,,011111111,111111111,302.95,-7.61,False
22,MU,Semiconductors,2190.4,93.3,1.6,0.8,41.9,96.2,154.8,396.2,809.9,1049.7,1276.9,2190.4,2348.6,-25.2,1.5,491.4,37.45245057536338,2338.4,5.0,5.0,5.0,5.0,27.33,27.33,81.58,81.58,-4,2.8302114346273015,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,5.0,5.0,5.0,5.0,27.33,27.33,2.0,0.0,0.0,12.0,0.0,81.58,81.58,,,,,,,111111111,111100011,1110.3999,-8.07,False
23,APH,Electronic Components,347.6,85.2,4.7,2.5,8.5,6.6,5.6,16.1,95.9,156.6,225.1,347.6,384.6,-16.3,1.2,254.4,40.751744593299,495.6,58.0,58.0,60.0,60.0,4.44,4.44,83.69,83.69,26,-10.56702556975857,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,58.0,58.0,60.0,60.0,4.44,4.44,111.0,0.0,0.0,-6.0,0.0,83.69,83.69,,,,,,,111111111,11-111111,167.04,-4.93,False
24,MRVL,Semiconductors,809.8,85.1,-1.3,-2.4,46.4,117.9,161.6,208.2,244.6,286.7,399.5,809.8,862.2,-14.2,2.4,142.8,34.12937946859782,957.8,23.0,23.0,23.0,23.0,15.89,15.89,86.59,86.59,-2,10.72937946859782,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,23.0,23.0,23.0,23.0,15.89,15.89,1.0,0.0,0.0,12.0,0.0,86.59,86.59,,,,,,,011111111,011110111,324.15,-14.03,False
25,TSM,Semiconductors,579.4,94.0,0.8,-0.6,0.9,4.2,15.2,36.0,129.8,191.1,281.0,579.4,616.9,-6.0,1.1,368.2,60.317575767817274,727.4,37.0,37.0,37.0,37.0,11.44,11.44,88.24,88.24,-6,8.945414086495397,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,37.0,37.0,37.0,37.0,11.44,11.44,81.0,0.0,0.0,12.0,0.0,88.24,88.24,,,,,,,011111111,111110111,450.1636,-5.41,False
26,GOOG,Internet Content & Information,239.2,85.9,5.1,2.4,-3.2,3.7,4.6,30.7,70.5,93.3,139.5,239.2,280.7,-10.8,1.3,149.9,23.185738622425884,387.2,76.0,76.0,78.0,78.0,5.32,5.32,88.57,88.57,43,0.9723059014805386,STRONG_DOWN,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,76.0,76.0,78.0,78.0,5.32,5.32,105.0,0.0,0.0,0.0,-18.0,88.57,88.57,,,,,,,101111111,111101111,404.44,-8.24,False
27,IBKR,Capital Markets,385.0,100.0,0.0,3.1,8.9,15.5,21.5,27.1,130.2,226.0,308.2,385.0,340.9,-46.8,1.2,201.8,27.5,533.0,54.0,54.0,55.0,55.0,13.33,13.33,89.13,89.13,21,-1.6170819937762637,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,54.0,54.0,55.0,55.0,13.33,13.33,62.0,0.0,0.0,-6.0,0.0,89.13,89.13,,,,,,,111111111,100011111,94.73,-1.72,False
28,GOOGL,Internet Conglomerates,238.0,85.4,5.5,2.6,-3.5,3.7,4.9,31.7,73.1,96.3,142.6,238.0,281.0,-11.4,1.3,146.8,22.095589291062073,386.0,77.0,77.0,79.0,79.0,5.27,5.27,89.67,89.67,42,1.2311187493943514,STRONG_DOWN,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,77.0,77.0,79.0,79.0,5.27,5.27,103.0,0.0,0.0,0.0,-18.0,89.67,89.67,,,,,,,101111111,111101111,408.61,-8.65,False
29,ASML,Semi-Conductors,479.0,91.9,-8.1,-6.7,17.1,16.8,28.5,62.9,80.4,91.5,163.1,479.0,520.1,-5.8,1.6,236.2,44.11610557041985,627.0,45.0,45.0,47.0,47.0,22.89,22.89,90.94,90.94,9,7.6161055704198475,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,45.0,45.0,47.0,47.0,22.89,22.89,38.0,0.0,0.0,0.0,0.0,90.94,90.94,,,,,,,011111111,111110011,1913.7,-5.74,False
30,APO,Asset Management,203.8,48.8,2.5,1.7,5.6,11.3,2.9,-5.0,-14.0,15.5,51.5,203.8,428.2,-9.1,1.3,472.2,278.23923973291164,351.8,83.0,83.0,88.0,88.0,15.44,15.44,91.29,91.29,64,-87.21586548767647,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,83.0,83.0,88.0,88.0,15.44,15.44,152.0,0.0,0.0,-6.0,0.0,91.29,91.29,,,,,,,111100111,111111110,153.29,-9.66,False
31,LITE,Communication Equipment,1240.3,80.9,-1.7,-3.3,-7.1,0.4,58.3,329.6,1055.4,1027.3,1005.3,1240.3,1558.0,-109.6,1.5,456.3,4.367793075188879,1388.3,13.0,13.0,13.0,13.0,27.73,27.73,91.33,91.33,1,3.9407812234141537,EARLY_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,13.0,13.0,13.0,13.0,27.73,27.73,21.0,0.0,0.0,0.0,0.0,91.33,91.33,,,,,,,001111111,111100011,1085.6801,-19.37,False
32,IRM,Data Storage & Management,235.3,75.9,2.1,0.7,-0.4,5.2,20.3,17.4,18.6,52.8,140.3,235.3,320.0,-29.9,1.3,219.3,81.1093297398557,383.3,78.0,78.0,80.0,80.0,15.04,15.04,93.74,93.74,7,2.3661794963837366,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,78.0,78.0,80.0,80.0,15.04,15.04,96.0,0.0,0.0,-6.0,0.0,93.74,93.74,,,,,,,101111111,0011111-1,134.09,-4.39,False
33,RGTI,Quantum Computing,783.7,30.1,-0.1,-1.7,-2.3,10.7,1.3,3.0,800.3,809.1,,783.7,2754.1,-93.0,1.6,2697.7,922.3282711782233,845.3,31.0,31.0,27.0,27.0,12.9,12.9,95.3,95.3,-25,281.6586163604238,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,31.0,31.0,27.0,27.0,12.9,12.9,157.0,0.0,11.0,25.0,0.0,95.3,95.3,,,,,,,0011111-1,------111,58.15,-64.51,False
34,URI,Equipment Rental,344.1,95.3,-0.8,-1.6,8.6,16.8,20.3,15.0,26.2,69.7,177.1,344.1,362.9,-36.0,1.3,264.6,62.59161674820586,492.1,59.0,59.0,61.0,61.0,8.89,8.89,96.99,96.99,-7,-0.3018290099342025,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,59.0,59.0,61.0,61.0,8.89,8.89,77.0,0.0,0.0,12.0,0.0,96.99,96.99,,,,,,,011111111,100111111,1106.8781,-3.35,False
35,CASY,Retail Specialty Group,278.4,89.1,-9.9,-7.3,8.3,9.1,22.8,37.4,92.5,151.7,192.2,278.4,316.8,-38.6,1.1,160.2,24.246677247431755,426.4,65.0,65.0,67.0,67.0,8.89,8.89,97.29,97.29,47,-10.319825694552854,EARLY_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,65.0,65.0,67.0,67.0,8.89,8.89,57.0,0.0,0.0,0.0,0.0,97.29,97.29,,,,,,,011111111,011011111,927.85,-6.74,False
36,RKLB,Aerospace & Defense,1152.3,66.6,-7.4,-10.5,7.6,25.6,44.7,86.8,1000.1,1197.6,,1152.3,1719.1,-77.2,1.3,891.7,131.0343153518047,1218.5,15.0,15.0,14.0,14.0,27.0,27.0,97.55,97.55,10,47.17566189430218,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,15.0,15.0,14.0,14.0,27.0,27.0,26.0,0.0,11.0,25.0,0.0,97.55,97.55,,,,,,,0111111-1,-----0111,150.9999,-30.71,False
37,MS,Investment Banking & Brokerage,245.6,100.0,2.4,2.1,8.9,14.9,15.8,26.3,71.6,86.0,155.5,245.6,245.8,-20.8,1.1,137.0,19.8,393.6,71.0,71.0,73.0,73.0,8.89,8.89,98.79,98.79,10,0.5,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,71.0,71.0,73.0,73.0,8.89,8.89,69.0,0.0,0.0,-6.0,0.0,98.79,98.79,,,,,,,111111111,100111111,222.3,-0.66,False
38,TRGP,Oil & Gas Midstream,493.7,91.2,-4.9,-5.3,-0.3,-2.1,12.0,27.4,70.7,161.7,443.0,493.7,551.7,-93.5,1.2,380.2,83.10920235279836,641.7,44.0,44.0,45.0,45.0,19.08,19.08,99.08,99.08,19,3.487934445467971,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,44.0,44.0,45.0,45.0,19.08,19.08,110.0,0.0,0.0,12.0,0.0,99.08,99.08,,,,,,,000111111,000011111,280.0,-7.26,False
39,HOOD,Capital Markets,390.4,49.7,2.5,3.2,17.4,19.1,1.2,-9.8,277.9,,,390.4,820.7,-60.3,1.4,855.9,252.1577179261257,450.0,62.0,62.0,54.0,54.0,12.7,12.7,102.85,102.85,35,-15.643337410235745,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,62.0,62.0,54.0,54.0,12.7,12.7,125.0,0.0,26.0,0.0,0.0,102.85,102.85,,,,,,,111101--1,------111,153.56,-37.02,False
40,TSLA,Automobile Manufacturers,774.8,52.1,0.6,-0.3,-1.1,-4.8,-10.0,-7.6,9.2,-4.1,233.5,774.8,1535.1,-50.2,1.2,1476.0,595.3574643276469,922.8,25.0,25.0,28.0,28.0,46.52,46.52,103.62,103.62,18,56.97748785273427,EARLY_DOWN,UPPER_RANGE,MOMENTUM_UP,S0_NEUTRAL,,,,,25.0,25.0,28.0,28.0,46.52,46.52,363.0,0.0,0.0,0.0,-22.0,103.62,103.62,,,,,,,000001011,111110011,498.83,-18.88,False
41,TT,Building Products,240.8,82.2,3.8,1.6,1.0,-1.6,2.6,-2.0,16.7,54.1,102.2,240.8,294.6,-7.0,1.2,273.3,77.03289670746908,388.8,74.0,74.0,77.0,77.0,1.73,1.73,103.68,103.68,27,-15.777649983699888,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,74.0,74.0,77.0,77.0,1.73,1.73,223.0,0.0,0.0,0.0,0.0,103.68,103.68,,,,,,,110101111,111111111,503.47,-5.59,False
42,AVGO,Semiconductors,1102.6,75.0,-2.4,-4.0,-15.8,-4.4,-3.7,2.7,101.1,281.0,533.0,1102.6,1473.1,-16.4,1.2,1260.0,290.6729984271195,1250.6,14.0,14.0,15.0,15.0,6.8,6.8,105.25,105.25,-38,90.25132495181873,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,14.0,14.0,15.0,15.0,6.8,6.8,333.0,0.0,0.0,25.0,0.0,105.25,105.25,,,,,,,000011111,111111111,495.0,-23.9,False
43,QBTS,Quantum Computing,798.3,44.9,0.1,-1.2,-2.1,18.6,8.8,8.9,975.9,875.0,,798.3,1840.5,-110.7,1.5,1529.4,341.853554336585,863.6,27.0,27.0,24.0,24.0,27.4,27.4,105.75,105.75,-19,120.91875347599407,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,27.0,27.0,24.0,24.0,27.4,27.4,102.0,0.0,11.0,25.0,0.0,105.75,105.75,,,,,,,0011111-1,-----0111,46.75,-48.79,False
44,TER,Semiconductors,515.5,93.1,7.2,5.6,13.2,15.4,49.0,143.1,201.9,201.5,237.9,515.5,544.0,-50.5,2.1,142.4,11.673103573161155,663.5,43.0,43.0,44.0,44.0,27.33,27.33,106.08,106.08,12,-0.030689195135508385,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,43.0,43.0,44.0,44.0,27.33,27.33,18.0,0.0,0.0,0.0,0.0,106.08,106.08,,,,,,,111111111,111100011,437.77,-6.49,False
45,GS,Investment Banking & Brokerage,241.9,100.0,6.9,3.6,9.8,12.8,14.5,25.1,92.8,122.8,191.5,241.9,241.3,-35.7,1.1,134.6,17.0,389.9,72.0,72.0,75.0,75.0,13.33,13.33,106.23,106.23,8,0.6000000000000014,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,72.0,72.0,75.0,75.0,13.33,13.33,76.0,0.0,0.0,-6.0,0.0,106.23,106.23,,,,,,,111111111,000111111,1098.3632,-0.7,False
46,WDC,Data Storage Devices,1362.4,100.0,11.7,27.0,39.8,82.1,154.9,421.7,1098.2,1351.1,1418.4,1362.4,1362.8,-100.9,1.6,211.8,-3.8,1510.4,10.0,10.0,10.0,10.0,45.11,45.11,107.51,107.51,18,1.7911917891944729,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,10.0,10.0,10.0,10.0,45.11,45.11,4.0,0.0,0.0,-6.0,0.0,107.51,107.51,,,,,,,111111111,000000011,729.92,-6.69,False
47,GE,Aerospace & Defense,252.0,94.6,6.2,4.0,14.0,6.8,7.1,8.8,83.4,226.3,323.4,252.0,260.3,-96.0,1.1,188.2,29.35033451550357,400.0,70.0,70.0,72.0,72.0,17.78,17.78,108.08,108.08,20,-7.578821406522806,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,70.0,70.0,72.0,72.0,17.78,17.78,112.0,0.0,0.0,-6.0,0.0,108.08,108.08,,,,,,,111111111,001001111,352.88,-0.33,True
48,IONQ,Quantum Computing,353.7,53.2,-3.0,-5.0,-0.4,30.8,25.5,15.5,197.8,360.2,,353.7,660.4,-66.8,1.4,501.4,142.0581727523811,418.0,66.0,66.0,58.0,58.0,10.4,10.4,108.9,108.9,-18,56.85297215411434,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,66.0,66.0,58.0,58.0,10.4,10.4,58.0,0.0,11.0,25.0,0.0,108.9,108.9,,,,,,,0011111-1,-----1111,84.64,-33.77,False
49,PH,Diversified Machinery,222.1,78.7,4.3,2.3,9.1,-2.3,-2.5,4.8,29.4,79.5,137.2,222.1,289.7,-29.7,1.1,237.5,59.25527759846486,370.1,80.0,80.0,83.0,83.0,10.42,10.42,108.92,108.92,39,-24.50604096943883,EARLY_UP,UPPER_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,80.0,80.0,83.0,83.0,10.42,10.42,182.0,0.0,0.0,-4.0,0.0,108.92,108.92,,,,,,,110011111,001111111,1034.96,-9.32,False
50,GWW,Industrial Distribution,183.5,82.3,-0.8,-1.3,9.0,7.2,13.3,13.7,4.1,36.0,89.9,183.5,230.8,-40.3,1.2,166.6,55.51315239500565,331.5,91.0,91.0,95.0,95.0,0.0,0.0,109.75,109.75,-9,-12.605935676918904,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,91.0,91.0,95.0,95.0,0.0,0.0,98.0,0.0,0.0,12.0,0.0,109.75,109.75,,,,,,,011111111,111111111,1349.74,-2.22,False
