Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,ytd,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,High_52W,Pct_From_52W_High,At_52W_High
11,MRVL,Semiconductors,950.8,100.0,2.7,190.6,65.5,147.3,197.2,250.7,295.3,345.8,477.6,950.8,862.2,-14.2,2.4,108.4,23.4,1101.1,21.0,21.0,22.0,22.0,15.89,15.89,70.99,70.99,22,-1.386685027947692,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,21.0,21.0,22.0,22.0,15.89,15.89,1.0,0.0,0.0,-6.0,0.0,70.99,70.99,,,,,,,324.15,-2.38,False
12,CAT,Construction Machinery,510.4,95.5,4.8,18.9,3.3,8.0,23.4,56.4,118.2,188.3,288.7,510.4,533.7,-5.5,1.2,252.8,55.771881866324016,654.2,46.0,46.0,47.0,47.0,4.44,4.44,71.89,71.89,24,15.039489324605697,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,46.0,46.0,47.0,47.0,4.44,4.44,53.0,0.0,0.0,0.0,0.0,71.89,71.89,,,,,,,946.83,-4.49,False
13,AVGO,Semiconductors,1139.2,77.5,-22.5,2.1,-12.1,-0.1,0.6,7.4,109.2,294.3,553.5,1139.2,1473.1,-16.4,1.2,1206.8,29.06651811694902,1283.0,13.0,13.0,13.0,13.0,0.6,0.6,72.4,72.4,3,-134.47606904099376,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,13.0,13.0,13.0,13.0,0.6,0.6,185.0,0.0,0.0,0.0,0.0,72.4,72.4,,,,,,,495.0,-22.07,False
14,STX,Data Storage,1834.5,98.2,-1.6,97.6,11.5,60.7,116.9,263.4,745.9,931.1,1200.2,1834.5,1867.5,-36.7,1.2,428.6,25.57660161197883,1984.8,8.0,8.0,8.0,8.0,24.78,24.78,72.48,72.48,17,0.07660161197883042,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,8.0,8.0,8.0,8.0,24.78,24.78,8.0,0.0,0.0,0.0,0.0,72.48,72.48,,,,,,,966.8,-4.22,False
15,URI,Equipment Rental,350.0,96.7,11.6,20.6,9.2,17.6,21.1,15.8,27.2,71.4,180.4,350.0,362.9,-36.0,1.3,257.6,95.13468344269894,500.3,56.0,56.0,57.0,57.0,8.89,8.89,72.69,72.69,13,7.835596466831234,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,56.0,56.0,57.0,57.0,8.89,8.89,70.0,0.0,0.0,-6.0,0.0,72.69,72.69,,,,,,,1091.23,-0.61,False
16,MU,Semiconductors,2129.0,91.5,-8.5,121.6,37.5,90.3,147.4,382.8,785.6,1018.8,1239.6,2129.0,2328.6,-25.2,1.5,447.0,16.20444119443988,2279.3,4.0,4.0,5.0,5.0,27.33,27.33,76.48,76.48,1,-13.064459526863121,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,4.0,4.0,5.0,5.0,27.33,27.33,3.0,0.0,0.0,0.0,0.0,76.48,76.48,,,,,,,1089.29,-8.56,False
17,JBL,Electronic Manufacturing Services,634.9,90.6,-3.7,22.3,0.9,11.2,27.6,40.5,103.4,211.3,380.1,634.9,653.4,-28.8,1.1,363.0,35.21861411708858,778.7,35.0,35.0,35.0,35.0,0.0,0.0,77.8,77.8,-2,-18.316395749131253,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,35.0,35.0,35.0,35.0,0.0,0.0,61.0,0.0,0.0,12.0,0.0,77.8,77.8,,,,,,,384.7,-8.18,False
18,PWR,Construction & Engineering,1030.5,88.6,0.4,21.4,-1.7,6.7,25.1,43.4,112.2,224.7,546.1,1030.5,1124.7,-22.8,1.1,644.6,132.85377716992753,1180.8,17.0,17.0,17.0,17.0,9.29,9.29,78.19,78.19,6,14.057662275065482,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,17.0,17.0,17.0,17.0,9.29,9.29,67.0,0.0,0.0,25.0,0.0,78.19,78.19,,,,,,,788.72,-8.82,False
19,ANET,Networking Equipment,732.4,81.5,-3.5,1.9,-9.9,-0.2,3.3,7.9,53.9,169.8,346.2,732.4,904.1,-19.6,1.3,736.9,93.5940003206389,876.2,28.0,28.0,30.0,30.0,10.6,10.6,78.45,78.45,-1,-88.4223146349678,EARLY_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,28.0,28.0,30.0,30.0,10.6,10.6,169.0,0.0,0.0,0.0,0.0,78.45,78.45,,,,,,,179.79,-14.19,False
20,APP,Software,988.6,64.3,-7.9,8.3,6.2,16.0,4.4,5.2,488.2,997.7,,988.6,1542.2,-55.4,1.4,1431.4,66.40979551317723,1047.4,22.0,22.0,21.0,21.0,12.5,12.5,79.35,79.35,-11,-265.4676186957526,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,22.0,22.0,21.0,21.0,12.5,12.5,103.0,0.0,11.0,0.0,0.0,79.35,79.35,,,,,,,745.61,-25.27,False
21,LRCX,Semiconductor Equipment,1063.2,86.4,-11.7,25.5,7.1,15.1,34.4,96.9,199.3,287.5,442.4,1063.2,1218.7,-7.6,1.3,533.2,19.369790362703927,1206.9,15.0,15.0,15.0,15.0,11.44,11.44,79.39,79.39,-8,-38.82981109961162,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,15.0,15.0,15.0,15.0,11.44,11.44,32.0,0.0,0.0,12.0,0.0,79.39,79.39,,,,,,,346.18,-12.39,False
22,SOXX,Semiconductor,528.4,96.8,-2.5,51.2,14.9,38.3,57.0,88.3,132.4,179.0,259.2,528.4,544.4,-6.2,1.4,177.0,26.362874115110223,678.6,40.0,40.0,44.0,44.0,11.44,11.44,81.49,81.49,4,-1.3231241078273754,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,40.0,40.0,44.0,44.0,11.44,11.44,21.0,0.0,0.0,0.0,0.0,81.49,81.49,,,,,,,618.84,-2.6,False
23,FTNT,Cybersecurity Software,533.7,96.5,-3.5,58.8,33.2,51.9,60.2,51.9,53.0,56.5,151.9,533.7,554.3,-20.2,1.4,314.0,61.65496051036039,677.4,41.0,41.0,42.0,42.0,11.44,11.44,82.09,82.09,9,-15.510020789865969,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,41.0,41.0,42.0,42.0,11.44,11.44,22.0,0.0,0.0,12.0,0.0,82.09,82.09,,,,,,,150.065,-3.59,False
24,WSM,Specialty Retail,321.6,79.2,2.2,1.5,6.8,1.8,2.1,0.7,34.9,77.8,162.9,321.6,417.3,-40.6,1.2,376.4,139.76159370775534,471.8,59.0,59.0,62.0,62.0,4.44,4.44,82.19,82.19,5,25.56631933232792,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,59.0,59.0,62.0,62.0,4.44,4.44,152.0,0.0,0.0,0.0,0.0,82.19,82.19,,,,,,,222.0,-6.27,False
25,TSM,Semiconductors,562.9,91.3,-6.5,10.2,0.1,3.2,13.9,34.2,125.4,185.0,272.4,562.9,616.9,-6.0,1.2,370.1,31.869160469681052,706.6,39.0,39.0,41.0,41.0,11.44,11.44,83.04,83.04,-5,-18.23083953031895,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,39.0,39.0,41.0,41.0,11.44,11.44,81.0,0.0,0.0,0.0,0.0,83.04,83.04,,,,,,,450.1636,-7.77,False
26,AAPL,Consumer Electronics,258.4,98.0,-1.5,7.3,5.2,6.8,6.2,12.6,7.6,12.9,56.9,258.4,264.2,-12.6,1.2,202.7,44.030304085512064,402.2,69.0,69.0,71.0,71.0,0.0,0.0,84.2,84.2,4,-0.26969591448793295,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,69.0,69.0,71.0,71.0,0.0,0.0,109.0,0.0,0.0,12.0,-18.0,84.2,84.2,,,,,,,316.94,-3.03,False
27,QUBT,Quantum Computing,888.9,11.0,-2.5,4.5,-5.6,9.3,1.3,-23.6,496.7,382.0,279.4,888.9,9187.6,-139.9,1.6,11140.4,1503.298709230847,1032.6,23.0,23.0,24.0,24.0,20.93,20.93,85.13,85.13,-25,-3102.5422979098867,STRONG_UP,LOWER,MOMENTUM_DOWN,S0_NEUTRAL,,,,,23.0,23.0,24.0,24.0,20.93,20.93,251.0,10.0,0.0,0.0,0.0,85.13,85.13,,,,,,,25.84,-61.47,False
28,TRX-USD,Cryptocurrency,772.3,11.8,-1.3,0.1,-3.5,-2.6,1.2,-4.5,69.8,149.7,452.7,772.3,6637.4,-26.9,1.2,6467.4,1248.9545107919798,882.0,27.0,27.0,29.0,29.0,9.98,9.98,86.13,86.13,-25,-153.77789733685108,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,27.0,27.0,29.0,29.0,9.98,9.98,214.0,0.0,0.0,25.0,0.0,86.13,86.13,,,,,,,0.3763,-14.27,False
29,GWW,Industrial Distribution,181.2,81.5,9.8,10.7,9.1,7.3,13.3,13.8,4.3,35.8,89.0,181.2,230.8,-40.3,1.2,167.4,104.13790113424388,325.0,95.0,95.0,95.0,95.0,0.0,0.0,86.55,86.55,47,33.33993255448736,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,95.0,95.0,95.0,95.0,0.0,0.0,92.0,0.0,0.0,-6.0,0.0,86.55,86.55,,,,,,,1306.51,-0.5,True
30,PANW,Cybersecurity Software,344.3,89.5,-10.5,44.4,21.1,44.4,43.4,34.0,31.9,74.8,176.4,344.3,389.3,-34.6,1.2,228.5,31.836076791384112,494.5,57.0,57.0,58.0,58.0,0.0,0.0,87.5,87.5,5,-20.239456094807384,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,57.0,57.0,58.0,58.0,0.0,0.0,35.0,0.0,0.0,12.0,0.0,87.5,87.5,,,,,,,302.95,-7.82,False
31,RGTI,Quantum Computing,788.3,30.3,-8.2,7.3,-0.3,12.8,3.3,5.1,804.4,813.7,,788.3,2754.1,-93.0,1.6,2661.3,50.329437052788364,847.1,30.0,30.0,28.0,28.0,12.9,12.9,87.85,87.85,-23,-494.39989616351494,STRONG_UP,MID_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,30.0,30.0,28.0,28.0,12.9,12.9,125.0,0.0,11.0,0.0,0.0,87.85,87.85,,,,,,,58.15,-64.44,False
32,AXON,Public Safety Technology,516.1,42.6,4.8,-3.5,11.6,1.9,-5.5,-26.5,-1.2,52.6,129.8,516.1,1246.3,-25.7,1.4,1846.7,1733.408466523646,659.9,44.0,44.0,45.0,45.0,11.0,11.0,88.7,88.7,78,470.13047542236995,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,44.0,44.0,45.0,45.0,11.0,11.0,276.0,10.0,0.0,0.0,0.0,88.7,88.7,,,,,,,764.02,-36.37,False
33,CDNS,Electronic Design Automation Software,290.9,79.5,1.6,12.2,0.8,10.2,12.3,5.4,-4.9,12.2,58.0,290.9,367.1,-3.4,1.2,311.4,133.3462133590674,434.7,62.0,62.0,65.0,65.0,14.44,14.44,89.14,89.14,6,27.54735720792023,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,62.0,62.0,65.0,65.0,14.44,14.44,112.0,0.0,0.0,0.0,0.0,89.14,89.14,,,,,,,416.69,-9.72,False
34,TPL,Homebuilding,451.8,49.4,2.3,-2.8,-0.2,-13.9,2.1,3.3,17.6,32.2,128.0,451.8,919.6,-5.5,1.4,950.3,634.769651872149,602.1,50.0,50.0,51.0,51.0,18.47,18.47,89.27,89.27,18,180.1391946291746,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,50.0,50.0,51.0,51.0,18.47,18.47,228.0,4.0,0.0,-2.0,0.0,89.27,89.27,,,,,,,547.2,-25.67,False
35,AMAT,Semiconductor Equipment & Materials,532.3,87.8,-10.3,24.7,7.9,11.5,31.1,76.5,106.9,148.6,257.4,532.3,609.0,-21.2,1.6,249.5,19.628485439208347,676.0,42.0,42.0,43.0,43.0,15.89,15.89,89.49,89.49,-8,-17.37056014684039,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,42.0,42.0,43.0,43.0,15.89,15.89,40.0,0.0,0.0,0.0,0.0,89.49,89.49,,,,,,,510.75,-11.3,False
36,STLD,Steel,427.1,100.0,0.5,31.5,10.8,22.7,34.8,60.6,75.1,121.8,300.4,427.1,427.5,-47.6,1.3,180.4,32.9,577.4,51.0,51.0,53.0,53.0,24.78,24.78,93.68,93.68,7,0.10000000000000142,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,51.0,51.0,53.0,53.0,24.78,24.78,39.0,0.0,0.0,-6.0,0.0,93.68,93.68,,,,,,,280.4899,-1.3,False
37,HWM,Aerospace & Defense,702.8,89.6,-2.8,2.6,2.2,-3.5,4.9,12.6,142.3,301.7,517.8,702.8,755.5,-54.6,1.1,584.1,88.31355213585503,829.9,31.0,31.0,32.0,32.0,5.2,5.2,95.3,95.3,3,0.8168569174868736,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,31.0,31.0,32.0,32.0,5.2,5.2,139.0,0.0,0.0,25.0,0.0,95.3,95.3,,,,,,,280.74,-10.27,False
38,SNDK,Data Storage Devices,2167.5,95.8,-4.2,195.6,21.6,87.0,271.2,1514.8,,,,2167.5,2232.5,-4.5,1.5,452.5,395.4557869414958,2185.6,5.0,5.0,4.0,4.0,17.5,17.5,95.7,95.7,11,-12.344213058504238,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,5.0,5.0,4.0,4.0,17.5,17.5,5.0,0.0,57.0,0.0,0.0,95.7,95.7,,,,,,,1860.9999,-5.44,False
39,ASTS,Satellite Communications,897.6,68.0,-16.2,4.8,10.5,7.7,14.0,50.9,909.3,978.0,,897.6,1328.4,-128.2,1.3,835.2,40.54346717895737,977.4,25.0,25.0,23.0,23.0,30.5,30.5,97.55,97.55,-14,-14.456532821042629,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,25.0,25.0,23.0,23.0,30.5,30.5,60.0,0.0,11.0,0.0,0.0,97.55,97.55,,,,,,,133.8599,-30.08,False
40,MS,Investment Banking & Brokerage,237.6,100.0,0.0,12.3,6.7,12.5,13.4,23.6,67.9,81.6,149.8,237.6,237.9,-20.8,1.1,133.9,19.3,387.9,70.0,70.0,73.0,73.0,8.89,8.89,99.04,99.04,8,0.1999999999999993,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,70.0,70.0,73.0,73.0,8.89,8.89,75.0,0.0,0.0,-6.0,0.0,99.04,99.04,,,,,,,219.16,-0.41,True
41,IONQ,Quantum Computing,363.1,54.7,-19.6,31.9,2.6,34.4,29.0,19.1,204.5,369.6,,363.1,660.4,-66.8,1.4,483.7,23.36806979496681,424.7,63.0,63.0,56.0,56.0,10.0,10.0,99.15,99.15,-20,-58.47291303821066,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,63.0,63.0,56.0,56.0,10.0,10.0,54.0,0.0,11.0,0.0,0.0,99.15,99.15,,,,,,,84.64,-32.92,False
42,QBTS,Quantum Computing,797.5,44.9,-13.5,11.4,-0.7,19.9,10.2,10.3,974.0,873.9,,797.5,1840.5,-110.7,1.5,1498.2,36.93279952661969,859.9,29.0,29.0,27.0,27.0,27.4,27.4,100.2,100.2,-19,-166.26720047338029,STRONG_UP,MID_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,29.0,29.0,27.0,27.0,27.4,27.4,91.0,0.0,11.0,0.0,0.0,100.2,100.2,,,,,,,46.75,-48.98,False
43,ASML,Semi-Conductors,417.9,91.4,-5.8,14.0,8.1,7.5,18.1,49.0,63.1,71.6,134.7,417.9,456.7,-5.8,1.7,228.5,31.939909568403447,561.7,54.0,54.0,55.0,55.0,22.89,22.89,100.24,100.24,3,-7.211796760916126,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,54.0,54.0,55.0,55.0,22.89,22.89,59.0,0.0,0.0,0.0,0.0,100.24,100.24,,,,,,,1779.285,-7.73,False
44,IBKR,Capital Markets,330.1,93.5,-3.4,9.0,0.3,5.9,11.2,16.0,107.5,192.6,264.9,330.1,313.6,-46.8,1.2,212.7,28.07766671548013,473.9,58.0,58.0,61.0,61.0,13.33,13.33,101.33,101.33,19,-5.789703860548382,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,58.0,58.0,61.0,61.0,13.33,13.33,102.0,0.0,0.0,0.0,0.0,101.33,101.33,,,,,,,91.02,-7.27,False
45,LITE,Communication Equipment,1224.6,80.0,0.7,40.5,-6.6,0.7,57.9,325.6,1041.8,1014.1,992.6,1224.6,1558.0,-109.6,1.6,423.1,0.8784347993757384,1368.4,11.0,11.0,11.0,11.0,27.73,27.73,102.88,102.88,13,2.5749199311772157,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,11.0,11.0,11.0,11.0,27.73,27.73,20.0,0.0,0.0,12.0,0.0,102.88,102.88,,,,,,,1085.6801,-20.45,False
46,IRM,Data Storage & Management,226.2,73.3,-2.6,14.4,-1.4,3.9,18.5,15.7,16.6,49.6,134.4,226.2,320.0,-29.9,1.2,225.3,64.19586960147596,369.9,79.0,79.0,76.0,76.0,15.07,15.07,103.07,103.07,-5,-19.381036754706003,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,79.0,79.0,76.0,76.0,15.07,15.07,97.0,0.0,0.0,0.0,0.0,103.07,103.07,,,,,,,134.09,-7.03,False
47,COHR,,617.4,86.8,0.2,43.9,9.4,24.1,55.0,155.0,401.3,461.6,514.8,617.4,724.2,-81.6,1.6,177.6,9.023655114403978,761.2,36.0,36.0,36.0,36.0,29.22,29.22,103.12,103.12,9,1.8490693111520304,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,36.0,36.0,36.0,36.0,29.22,29.22,14.0,0.0,0.0,0.0,0.0,103.12,103.12,,,,,,,439.77,-14.28,False
48,ORCL,Software,143.5,45.2,4.4,28.8,13.9,31.8,25.7,7.1,24.3,59.0,97.5,143.5,346.0,-22.8,1.8,264.9,157.76336768872187,293.7,106.0,106.0,108.0,108.0,17.78,17.78,103.58,103.58,7,-68.74884011735872,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,106.0,106.0,108.0,108.0,17.78,17.78,62.0,0.0,0.0,0.0,0.0,103.58,103.58,,,,,,,322.54,-26.73,False
49,RKLB,Aerospace & Defense,1223.8,70.7,-24.4,36.3,15.0,34.3,54.5,99.2,1061.8,1271.1,,1223.8,1719.1,-77.2,1.3,810.9,56.176466840654605,1287.2,12.0,12.0,12.0,12.0,27.0,27.0,104.45,104.45,-12,4.583180253349269,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,12.0,12.0,12.0,12.0,27.0,27.0,19.0,0.0,11.0,25.0,0.0,104.45,104.45,,,,,,,150.9999,-27.1,False
50,ETN,Electrical Equipment,189.5,84.1,7.2,,-0.5,0.2,6.5,2.6,5.4,45.3,102.1,189.5,227.3,-11.6,1.2,189.0,217.8559842721929,339.8,88.0,88.0,90.0,90.0,10.8,10.8,104.8,104.8,12,148.39772360108242,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,88.0,88.0,90.0,90.0,10.8,10.8,156.0,0.0,3.0,0.0,0.0,104.8,104.8,162546257312.01,162.546,74.0,cap100,equity,data_raw,435.43,-9.07,False
51,MPC,Oil & Gas Refining & Marketing,223.2,91.6,9.3,,3.6,7.3,21.5,27.1,28.3,79.0,193.5,223.2,251.1,-77.8,1.4,128.0,100.07759022116687,373.5,77.0,77.0,80.0,80.0,24.78,24.78,105.68,105.68,27,64.1399058604922,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,77.0,77.0,80.0,80.0,24.78,24.78,73.0,0.0,3.0,-6.0,0.0,105.68,105.68,77961674813.07,77.962,161.0,large,equity,data_raw,272.46,-1.99,False
